GPUs,Batch Size,Training Time (Seconds)
1,32,3548.2286479473114
1,64,3028.442309141159
1,128,3124.9185631275177
2,32,1562.3941972255707
2,64,1691.6615750789642
2,128,1471.330393075943
4,32,1051.7252976894379
4,64,1063.7776312828064
4,128,1051.5089824199677
